,Customer ID,Gender,DOB,Age,Age Range,Work Activity,Income,Income Range,Marital Status,Habitation,Trans Description,Trans Amount,Trans Date,Trans Category,Bank Branch,Account Type,Account Balance,Currency,Account Balance Range,Clusters,Clusters Category,Income Order,Account Balance Range Order,Age Range Order,Habitation Order,Marital Status Order
32,fe51c153-fbec-4b64-9b00-2530035ef0e1_bfa63a42-30ed-4ef9-a74b-f5de38d7fb5c,Male,1959-07-12,62,50 - 69,fulltime,202904.85,Above 70K,Divorced,other,PROP  9809945 INS,86.6,2018-05-01,Bills and Utilities,507,DDA,15307.54,CAD,10K-20K,1,Cluster 2,6,3,4,4,4
33,fe51c153-fbec-4b64-9b00-2530035ef0e1_bfa63a42-30ed-4ef9-a74b-f5de38d7fb5c,Male,1959-07-12,62,50 - 69,fulltime,202904.85,Above 70K,Divorced,other,PROP  9809945 INS,86.6,2018-05-01,Bills and Utilities,507,SDA,81161.94,CAD,Above 20K,1,Cluster 2,6,4,4,4,4
34,fe51c153-fbec-4b64-9b00-2530035ef0e1_0dff691b-ffab-4a12-a6ca-e647d28c8b00,Female,1997-04-03,24,20 - 29,parttime,3600.96,Below 10K,Single,With Parent,ADP PMT 55095988,138.5,2018-05-03,Income,12934,DDA,2920.85,CAD,2K-10K,3,Cluster 4,1,2,2,1,1
35,fe51c153-fbec-4b64-9b00-2530035ef0e1_0dff691b-ffab-4a12-a6ca-e647d28c8b00,Female,1997-04-03,24,20 - 29,parttime,3600.96,Below 10K,Single,With Parent,ADP PMT 55095988,138.5,2018-05-03,Income,12934,SDA,1490.38,CAD,Below 2K,3,Cluster 4,1,1,2,1,1
36,fe51c153-fbec-4b64-9b00-2530035ef0e1_bcab1703-d13f-49c8-986d-4e4c223b8ec1,Male,1980-09-16,41,30 - 49,fulltime,124518.0,Above 70K,Single,With Parent,ADP PMT 15994699,4789.15,2018-05-03,Income,1967,DDA,94798.45,CAD,Above 20K,1,Cluster 2,6,4,3,1,1
37,fe51c153-fbec-4b64-9b00-2530035ef0e1_bcab1703-d13f-49c8-986d-4e4c223b8ec1,Male,1980-09-16,41,30 - 49,fulltime,124518.0,Above 70K,Single,With Parent,ADP PMT 15994699,4789.15,2018-05-03,Income,1967,SDA,49857.2,CAD,Above 20K,1,Cluster 2,6,4,3,1,1
38,fe51c153-fbec-4b64-9b00-2530035ef0e1_731bd3ac-7c78-4445-a204-70d222ccc7e8,Male,2000-09-18,21,20 - 29,other,0.0,Below 10K,Single,With Parent,STARBUCKS #4276,5.91,2018-05-04,Food and Dining,255,DDA,41.6,CAD,Below 2K,2,Cluster 3,1,1,2,1,1
39,fe51c153-fbec-4b64-9b00-2530035ef0e1_731bd3ac-7c78-4445-a204-70d222ccc7e8,Male,2000-09-18,21,20 - 29,other,0.0,Below 10K,Single,With Parent,STARBUCKS #4276,5.91,2018-05-04,Food and Dining,255,SDA,147.78,CAD,Below 2K,2,Cluster 3,1,1,2,1,1
40,fe51c153-fbec-4b64-9b00-2530035ef0e1_0cd2a306-dd5f-483b-b59b-5f796c78b2d4,Male,2004-07-13,17,Below 20,other,0.0,Below 10K,Single,With Parent,TIM HORTONS #188 _F,4.27,2018-05-10,Food and Dining,12684,DDA,14.27,CAD,Below 2K,2,Cluster 3,1,1,1,1,1
41,fe51c153-fbec-4b64-9b00-2530035ef0e1_0cd2a306-dd5f-483b-b59b-5f796c78b2d4,Male,2004-07-13,17,Below 20,other,0.0,Below 10K,Single,With Parent,TIM HORTONS #188 _F,4.27,2018-05-10,Food and Dining,12684,SDA,102.58,CAD,Below 2K,2,Cluster 3,1,1,1,1,1
42,fe51c153-fbec-4b64-9b00-2530035ef0e1_b81582c7-6800-4591-bab3-9da621008226,Female,1952-07-13,69,50 - 69,fulltime,38778.05,30K - 40K,Divorced,Group,VOICE NETWORK INC.,98.3,2018-05-16,Bills and Utilities,197,DDA,3239.03,CAD,2K-10K,1,Cluster 2,4,2,4,3,4
43,fe51c153-fbec-4b64-9b00-2530035ef0e1_b81582c7-6800-4591-bab3-9da621008226,Female,1952-07-13,69,50 - 69,fulltime,38778.05,30K - 40K,Divorced,Group,VOICE NETWORK INC.,98.3,2018-05-16,Bills and Utilities,197,SDA,15711.22,CAD,10K-20K,1,Cluster 2,4,3,4,3,4
44,fe51c153-fbec-4b64-9b00-2530035ef0e1_894a3dbe-dcd8-4621-87f0-791275bb9c2f,Male,2002-09-17,19,Below 20,other,0.0,Below 10K,Single,With Parent,STARBUCKS #4227,1.24,2018-05-17,Food and Dining,392,DDA,20.29,CAD,Below 2K,2,Cluster 3,1,1,1,1,1
45,fe51c153-fbec-4b64-9b00-2530035ef0e1_894a3dbe-dcd8-4621-87f0-791275bb9c2f,Male,2002-09-17,19,Below 20,other,0.0,Below 10K,Single,With Parent,STARBUCKS #4227,1.24,2018-05-17,Food and Dining,392,SDA,81.26,CAD,Below 2K,2,Cluster 3,1,1,1,1,1
46,fe51c153-fbec-4b64-9b00-2530035ef0e1_35a08194-8a3d-4a2b-81fc-972d30cf6429,Female,1990-04-03,31,30 - 49,parttime,16748.49,10K - 20K,Single,With Spouse,ADP PMT 88269935,644.17,2018-05-17,Income,1857,DDA,8531.45,CAD,2K-10K,3,Cluster 4,2,2,3,2,1
47,fe51c153-fbec-4b64-9b00-2530035ef0e1_35a08194-8a3d-4a2b-81fc-972d30cf6429,Female,1990-04-03,31,30 - 49,parttime,16748.49,10K - 20K,Single,With Spouse,ADP PMT 88269935,644.17,2018-05-17,Income,1857,SDA,6899.4,CAD,2K-10K,3,Cluster 4,2,2,3,2,1
48,fe51c153-fbec-4b64-9b00-2530035ef0e1_bcab1703-d13f-49c8-986d-4e4c223b8ec1,Male,1980-09-16,41,30 - 49,fulltime,124518.0,Above 70K,Single,With Parent,ADP PMT 99964851,4789.15,2018-05-17,Income,1967,DDA,94798.45,CAD,Above 20K,1,Cluster 2,6,4,3,1,1
49,fe51c153-fbec-4b64-9b00-2530035ef0e1_bcab1703-d13f-49c8-986d-4e4c223b8ec1,Male,1980-09-16,41,30 - 49,fulltime,124518.0,Above 70K,Single,With Parent,ADP PMT 99964851,4789.15,2018-05-17,Income,1967,SDA,49857.2,CAD,Above 20K,1,Cluster 2,6,4,3,1,1
50,fe51c153-fbec-4b64-9b00-2530035ef0e1_7ebca576-95e2-4310-a140-f6e211447dd0,Female,2003-11-22,18,Below 20,other,0.0,Below 10K,Single,With Parent,E TFR C0***bwZ,22.0,2018-05-18,Transfer,12676,DDA,59.44,CAD,Below 2K,2,Cluster 3,1,1,1,1,1
51,fe51c153-fbec-4b64-9b00-2530035ef0e1_7ebca576-95e2-4310-a140-f6e211447dd0,Female,2003-11-22,18,Below 20,other,0.0,Below 10K,Single,With Parent,E TFR C0***bwZ,22.0,2018-05-18,Transfer,12676,SDA,148.8,CAD,Below 2K,2,Cluster 3,1,1,1,1,1
52,fe51c153-fbec-4b64-9b00-2530035ef0e1_3a5852d2-3fb6-432f-96b6-afc5475e7fdc,Female,1964-04-05,57,50 - 69,parttime,32065.45,30K - 40K,Married,With Spouse,BELL CANADA D9N8A3,99.7,2018-05-21,Bills and Utilities,1080,DDA,8665.43,CAD,2K-10K,0,Cluster 1,4,2,4,2,2
53,fe51c153-fbec-4b64-9b00-2530035ef0e1_3a5852d2-3fb6-432f-96b6-afc5475e7fdc,Female,1964-04-05,57,50 - 69,parttime,32065.45,30K - 40K,Married,With Spouse,BELL CANADA D9N8A3,99.7,2018-05-21,Bills and Utilities,1080,SDA,13026.18,CAD,10K-20K,0,Cluster 1,4,3,4,2,2
54,fe51c153-fbec-4b64-9b00-2530035ef0e1_d32af736-02c6-4216-aea5-409919921e32,Male,1998-05-08,23,20 - 29,fulltime,21496.53,20K - 30K,Single,other,TIM HORTONS #629 _F,7.26,2018-05-24,Food and Dining,1584,DDA,10800.01,CAD,10K-20K,1,Cluster 2,3,3,2,4,1
55,fe51c153-fbec-4b64-9b00-2530035ef0e1_d32af736-02c6-4216-aea5-409919921e32,Male,1998-05-08,23,20 - 29,fulltime,21496.53,20K - 30K,Single,other,TIM HORTONS #629 _F,7.26,2018-05-24,Food and Dining,1584,SDA,8598.62,CAD,2K-10K,1,Cluster 2,3,2,2,4,1
56,fe51c153-fbec-4b64-9b00-2530035ef0e1_7ebca576-95e2-4310-a140-f6e211447dd0,Female,2003-11-22,18,Below 20,other,0.0,Below 10K,Single,With Parent,TIM HORTONS #489 _F,2.84,2018-05-25,Food and Dining,12676,DDA,59.44,CAD,Below 2K,2,Cluster 3,1,1,1,1,1
57,fe51c153-fbec-4b64-9b00-2530035ef0e1_7ebca576-95e2-4310-a140-f6e211447dd0,Female,2003-11-22,18,Below 20,other,0.0,Below 10K,Single,With Parent,TIM HORTONS #489 _F,2.84,2018-05-25,Food and Dining,12676,SDA,148.8,CAD,Below 2K,2,Cluster 3,1,1,1,1,1
58,fe51c153-fbec-4b64-9b00-2530035ef0e1_6bf634d9-77ca-4541-993f-49a0ecd767ff,Female,2001-06-10,20,20 - 29,other,0.0,Below 10K,Single,With Parent,STARBUCKS #17340,3.11,2018-05-30,Food and Dining,1040,DDA,18.95,CAD,Below 2K,2,Cluster 3,1,1,2,1,1
59,fe51c153-fbec-4b64-9b00-2530035ef0e1_6bf634d9-77ca-4541-993f-49a0ecd767ff,Female,2001-06-10,20,20 - 29,other,0.0,Below 10K,Single,With Parent,STARBUCKS #17340,3.11,2018-05-30,Food and Dining,1040,SDA,25.68,CAD,Below 2K,2,Cluster 3,1,1,2,1,1
60,fe51c153-fbec-4b64-9b00-2530035ef0e1_6fbde79b-e445-4d3d-882d-3bbeb048a184,Female,1988-10-21,33,30 - 49,fulltime,43421.07,40K - 70K,Married,With Spouse,TEKSAVVY Z4N9I8,91.44,2018-05-30,Bills and Utilities,1967,DDA,22283.64,CAD,Above 20K,0,Cluster 1,5,4,3,2,2
61,fe51c153-fbec-4b64-9b00-2530035ef0e1_6fbde79b-e445-4d3d-882d-3bbeb048a184,Female,1988-10-21,33,30 - 49,fulltime,43421.07,40K - 70K,Married,With Spouse,TEKSAVVY Z4N9I8,91.44,2018-05-30,Bills and Utilities,1967,SDA,17568.42,CAD,10K-20K,0,Cluster 1,5,3,3,2,2
62,fe51c153-fbec-4b64-9b00-2530035ef0e1_d32af736-02c6-4216-aea5-409919921e32,Male,1998-05-08,23,20 - 29,fulltime,21496.53,20K - 30K,Single,other,TIM HORTONS #629 _F,2.89,2018-05-31,Food and Dining,1584,DDA,10800.01,CAD,10K-20K,1,Cluster 2,3,3,2,4,1
63,fe51c153-fbec-4b64-9b00-2530035ef0e1_d32af736-02c6-4216-aea5-409919921e32,Male,1998-05-08,23,20 - 29,fulltime,21496.53,20K - 30K,Single,other,TIM HORTONS #629 _F,2.89,2018-05-31,Food and Dining,1584,SDA,8598.62,CAD,2K-10K,1,Cluster 2,3,2,2,4,1
64,fe51c153-fbec-4b64-9b00-2530035ef0e1_1d8ed6e0-ff3e-4f0d-9442-dcb94e88025a,Female,1997-11-23,24,20 - 29,fulltime,24129.27,20K - 30K,Single,other,ADP PMT 71843299,1923.08,2018-05-31,Income,1800,DDA,31421.76,CAD,Above 20K,1,Cluster 2,3,4,2,4,1
65,fe51c153-fbec-4b64-9b00-2530035ef0e1_1d8ed6e0-ff3e-4f0d-9442-dcb94e88025a,Female,1997-11-23,24,20 - 29,fulltime,24129.27,20K - 30K,Single,other,ADP PMT 71843299,1923.08,2018-05-31,Income,1800,SDA,9651.7,CAD,2K-10K,1,Cluster 2,3,2,2,4,1
66,fe51c153-fbec-4b64-9b00-2530035ef0e1_994bafdf-a40c-4e5b-9c21-5756bf5d2df7,Female,1997-09-17,24,20 - 29,fulltime,30976.77,30K - 40K,Single,Group,ADP PMT 83838956,1191.41,2018-05-31,Income,87,DDA,2158.04,CAD,2K-10K,1,Cluster 2,4,2,2,3,1
67,fe51c153-fbec-4b64-9b00-2530035ef0e1_994bafdf-a40c-4e5b-9c21-5756bf5d2df7,Female,1997-09-17,24,20 - 29,fulltime,30976.77,30K - 40K,Single,Group,ADP PMT 83838956,1191.41,2018-05-31,Income,87,SDA,12590.7,CAD,10K-20K,1,Cluster 2,4,3,2,3,1
68,fe51c153-fbec-4b64-9b00-2530035ef0e1_8aba9e31-8f66-41be-baa4-b37d5c80df66,Male,1994-06-09,27,20 - 29,parttime,17870.49,10K - 20K,Single,other,ADP PMT 81998829,1923.08,2018-05-31,Income,255,DDA,29982.43,CAD,Above 20K,3,Cluster 4,2,4,2,4,1
69,fe51c153-fbec-4b64-9b00-2530035ef0e1_8aba9e31-8f66-41be-baa4-b37d5c80df66,Male,1994-06-09,27,20 - 29,parttime,17870.49,10K - 20K,Single,other,ADP PMT 81998829,1923.08,2018-05-31,Income,255,SDA,7148.2,CAD,2K-10K,3,Cluster 4,2,2,2,4,1
70,fe51c153-fbec-4b64-9b00-2530035ef0e1_458dc8e9-9574-45ad-83d9-68f783652d71,Male,1976-10-21,45,30 - 49,other,0.0,Below 10K,Married,With Spouse,Pay Day Loan PMT,565.07,2018-05-31,Payday Loan,1488,DDA,0.0,CAD,Below 2K,4,Cluster 5,1,1,3,2,2
71,fe51c153-fbec-4b64-9b00-2530035ef0e1_458dc8e9-9574-45ad-83d9-68f783652d71,Male,1976-10-21,45,30 - 49,other,0.0,Below 10K,Married,With Spouse,Pay Day Loan PMT,565.07,2018-05-31,Payday Loan,1488,SDA,0.0,CAD,Below 2K,4,Cluster 5,1,1,3,2,2
72,fe51c153-fbec-4b64-9b00-2530035ef0e1_a715eb84-ef0a-410a-a19e-d534ccd93c6e,Male,1974-09-16,47,30 - 49,fulltime,42291.7,40K - 70K,Divorced,With Spouse,E TFR C2***agy,20.0,2018-05-31,Transfer,375,DDA,22108.47,CAD,Above 20K,0,Cluster 1,5,4,3,2,4
73,fe51c153-fbec-4b64-9b00-2530035ef0e1_a715eb84-ef0a-410a-a19e-d534ccd93c6e,Male,1974-09-16,47,30 - 49,fulltime,42291.7,40K - 70K,Divorced,With Spouse,E TFR C2***agy,20.0,2018-05-31,Transfer,375,SDA,17116.68,CAD,10K-20K,0,Cluster 1,5,3,3,2,4
74,fe51c153-fbec-4b64-9b00-2530035ef0e1_4d23b150-b6e0-4770-81a5-1d56c850edb2,Other,1959-07-12,62,50 - 69,fulltime,76864.85,Above 70K,Married,With Spouse,ADP PMT 64429288,2956.34,2018-05-31,Income,1970,DDA,32144.24,CAD,Above 20K,0,Cluster 1,6,4,4,2,2
75,fe51c153-fbec-4b64-9b00-2530035ef0e1_4d23b150-b6e0-4770-81a5-1d56c850edb2,Other,1959-07-12,62,50 - 69,fulltime,76864.85,Above 70K,Married,With Spouse,ADP PMT 64429288,2956.34,2018-05-31,Income,1970,SDA,30945.94,CAD,Above 20K,0,Cluster 1,6,4,4,2,2
76,fe51c153-fbec-4b64-9b00-2530035ef0e1_210d1d75-d5f6-4d99-a42a-d3a4d32e2bde,Other,1955-12-26,66,50 - 69,fulltime,40049.15,40K - 70K,Married,With Spouse,ADP PMT 76385889,1540.35,2018-05-31,Income,607,DDA,25849.85,CAD,Above 20K,0,Cluster 1,5,4,4,2,2
77,fe51c153-fbec-4b64-9b00-2530035ef0e1_210d1d75-d5f6-4d99-a42a-d3a4d32e2bde,Other,1955-12-26,66,50 - 69,fulltime,40049.15,40K - 70K,Married,With Spouse,ADP PMT 76385889,1540.35,2018-05-31,Income,607,SDA,16219.66,CAD,10K-20K,0,Cluster 1,5,3,4,2,2
78,fe51c153-fbec-4b64-9b00-2530035ef0e1_f4dbce68-43e7-4375-9bc0-d6fd8f2472d8,Male,1988-01-30,33,30 - 49,fulltime,23095.38,20K - 30K,Single,Group,CHQ#000476-1858864935,2625.0,2018-06-01,Mortgage and Rent,1354,DDA,1783.5,CAD,Below 2K,1,Cluster 2,3,1,3,3,1
79,fe51c153-fbec-4b64-9b00-2530035ef0e1_f4dbce68-43e7-4375-9bc0-d6fd8f2472d8,Male,1988-01-30,33,30 - 49,fulltime,23095.38,20K - 30K,Single,Group,CHQ#000476-1858864935,2625.0,2018-06-01,Mortgage and Rent,1354,SDA,9438.16,CAD,2K-10K,1,Cluster 2,3,2,3,3,1
80,fe51c153-fbec-4b64-9b00-2530035ef0e1_b05dae39-bae3-42c6-b0e3-769bfaa5d052,Female,1964-12-26,57,50 - 69,parttime,15567.55,10K - 20K,Divorced,Group,ROGERS CABLE C1L4W9,119.63,2018-06-01,Bills and Utilities,1640,DDA,4121.25,CAD,2K-10K,3,Cluster 4,2,2,4,3,4
81,fe51c153-fbec-4b64-9b00-2530035ef0e1_b05dae39-bae3-42c6-b0e3-769bfaa5d052,Female,1964-12-26,57,50 - 69,parttime,15567.55,10K - 20K,Divorced,Group,ROGERS CABLE C1L4W9,119.63,2018-06-01,Bills and Utilities,1640,SDA,6427.02,CAD,2K-10K,3,Cluster 4,2,2,4,3,4
